Rule,Pattern,Relation1,Relation2,Relation3,Count,Body_Count,Support,Confidence
"auntOf(A,B) ∧ sisterOf(C,B) → auntOf(A,C)",A→[auntOf]B←[sisterOf]C ⇒ A→[auntOf]C,auntOf,sisterOf,auntOf,442,199,0.03198031980319803,2.221105527638191
"sisterOf(A,B) ∧ grandfatherOf(C,B) → granddaughterOf(A,C)",A→[sisterOf]B←[grandfatherOf]C ⇒ A→[granddaughterOf]C,sisterOf,grandfatherOf,granddaughterOf,747,337,0.054048187540698935,2.2166172106824926
"nephewOf(A,B) ∧ grandsonOf(C,B) → secondUncleOf(A,C)",A→[nephewOf]B←[grandsonOf]C ⇒ A→[secondUncleOf]C,nephewOf,grandsonOf,secondUncleOf,82,37,0.005933000506475653,2.2162162162162162
"nieceOf(A,B) ∧ girlFirstCousinOnceRemovedOf(C,B) → girlSecondCousinOf(A,C)",A→[nieceOf]B←[girlFirstCousinOnceRemovedOf]C ⇒ A→[girlSecondCousinOf]C,nieceOf,girlFirstCousinOnceRemovedOf,girlSecondCousinOf,31,14,0.0022429636061066494,2.2142857142857144
"girlCousinOf(A,B) ∧ grandmotherOf(C,B) → granddaughterOf(A,C)",A→[girlCousinOf]B←[grandmotherOf]C ⇒ A→[granddaughterOf]C,girlCousinOf,grandmotherOf,granddaughterOf,445,201,0.03219738079733739,2.2139303482587063
"brotherOf(A,B) ∧ greatGrandfatherOf(C,B) → greatGrandsonOf(A,C)",A→[brotherOf]B←[greatGrandfatherOf]C ⇒ A→[greatGrandsonOf]C,brotherOf,greatGrandfatherOf,greatGrandsonOf,437,198,0.03161855147963245,2.207070707070707
"sonOf(A,B) ∧ grandfatherOf(C,B) → greatGrandsonOf(A,C)",A→[sonOf]B←[grandfatherOf]C ⇒ A→[greatGrandsonOf]C,sonOf,grandfatherOf,greatGrandsonOf,203,92,0.014687793936762897,2.2065217391304346
"fatherOf(A,B) ∧ nephewOf(C,B) → grandfatherOf(A,C)",A→[fatherOf]B←[nephewOf]C ⇒ A→[grandfatherOf]C,fatherOf,nephewOf,grandfatherOf,458,208,0.03313797843860791,2.201923076923077
"nieceOf(A,B) ∧ motherOf(C,B) → granddaughterOf(A,C)",A→[nieceOf]B←[motherOf]C ⇒ A→[granddaughterOf]C,nieceOf,motherOf,granddaughterOf,438,199,0.03169090514434556,2.201005025125628
"uncleOf(A,B) ∧ greatGrandfatherOf(C,B) → grandsonOf(A,C)",A→[uncleOf]B←[greatGrandfatherOf]C ⇒ A→[grandsonOf]C,uncleOf,greatGrandfatherOf,grandsonOf,509,232,0.03682801533897692,2.1939655172413794
"nieceOf(A,B) ∧ grandsonOf(C,B) → secondAuntOf(A,C)",A→[nieceOf]B←[grandsonOf]C ⇒ A→[secondAuntOf]C,nieceOf,grandsonOf,secondAuntOf,98,45,0.007090659141885536,2.1777777777777776
"sonOf(A,B) ∧ grandmotherOf(C,B) → greatGrandsonOf(A,C)",A→[sonOf]B←[grandmotherOf]C ⇒ A→[greatGrandsonOf]C,sonOf,grandmotherOf,greatGrandsonOf,203,94,0.014687793936762897,2.1595744680851063
"fatherOf(A,B) ∧ granddaughterOf(C,B) → greatGrandfatherOf(A,C)",A→[fatherOf]B←[granddaughterOf]C ⇒ A→[greatGrandfatherOf]C,fatherOf,granddaughterOf,greatGrandfatherOf,261,121,0.018884306490123726,2.15702479338843
"nephewOf(A,B) ∧ grandmotherOf(C,B) → greatGrandsonOf(A,C)",A→[nephewOf]B←[grandmotherOf]C ⇒ A→[greatGrandsonOf]C,nephewOf,grandmotherOf,greatGrandsonOf,541,251,0.03914333260979669,2.1553784860557768
"brotherOf(A,B) ∧ sonOf(C,B) → uncleOf(A,C)",A→[brotherOf]B←[sonOf]C ⇒ A→[uncleOf]C,brotherOf,sonOf,uncleOf,135,63,0.009767744736270892,2.142857142857143
"boyFirstCousinOnceRemovedOf(A,B) ∧ sonOf(C,B) → boySecondCousinOf(A,C)",A→[boyFirstCousinOnceRemovedOf]B←[sonOf]C ⇒ A→[boySecondCousinOf]C,boyFirstCousinOnceRemovedOf,sonOf,boySecondCousinOf,15,7,0.0010853049706967658,2.142857142857143
"boyCousinOf(A,B) ∧ girlSecondCousinOf(C,B) → boySecondCousinOf(A,C)",A→[boyCousinOf]B←[girlSecondCousinOf]C ⇒ A→[boySecondCousinOf]C,boyCousinOf,girlSecondCousinOf,boySecondCousinOf,15,7,0.0010853049706967658,2.142857142857143
"girlCousinOf(A,B) ∧ nephewOf(C,B) → secondAuntOf(A,C)",A→[girlCousinOf]B←[nephewOf]C ⇒ A→[secondAuntOf]C,girlCousinOf,nephewOf,secondAuntOf,201,94,0.014543086607336662,2.1382978723404253
"secondAuntOf(A,B) ∧ sisterOf(C,B) → secondAuntOf(A,C)",A→[secondAuntOf]B←[sisterOf]C ⇒ A→[secondAuntOf]C,secondAuntOf,sisterOf,secondAuntOf,49,23,0.003545329570942768,2.130434782608696
"grandfatherOf(A,B) ∧ daughterOf(C,B) → greatGrandfatherOf(A,C)",A→[grandfatherOf]B←[daughterOf]C ⇒ A→[greatGrandfatherOf]C,grandfatherOf,daughterOf,greatGrandfatherOf,200,94,0.014470732942623543,2.127659574468085
"sisterOf(A,B) ∧ greatGrandfatherOf(C,B) → greatGranddaughterOf(A,C)",A→[sisterOf]B←[greatGrandfatherOf]C ⇒ A→[greatGranddaughterOf]C,sisterOf,greatGrandfatherOf,greatGranddaughterOf,483,228,0.03494682005643586,2.1184210526315788
"sonOf(A,B) ∧ nieceOf(C,B) → boyCousinOf(A,C)",A→[sonOf]B←[nieceOf]C ⇒ A→[boyCousinOf]C,sonOf,nieceOf,boyCousinOf,129,61,0.009333622747992185,2.1147540983606556
"sisterOf(A,B) ∧ granddaughterOf(C,B) → greatAuntOf(A,C)",A→[sisterOf]B←[granddaughterOf]C ⇒ A→[greatAuntOf]C,sisterOf,granddaughterOf,greatAuntOf,148,70,0.010708342377541423,2.1142857142857143
"fatherOf(A,B) ∧ girlSecondCousinOf(C,B) → secondUncleOf(A,C)",A→[fatherOf]B←[girlSecondCousinOf]C ⇒ A→[secondUncleOf]C,fatherOf,girlSecondCousinOf,secondUncleOf,38,18,0.0027494392590984734,2.111111111111111
"sonOf(A,B) ∧ boyCousinOf(C,B) → boyFirstCousinOnceRemovedOf(A,C)",A→[sonOf]B←[boyCousinOf]C ⇒ A→[boyFirstCousinOnceRemovedOf]C,sonOf,boyCousinOf,boyFirstCousinOnceRemovedOf,38,18,0.0027494392590984734,2.111111111111111
"nephewOf(A,B) ∧ sonOf(C,B) → boyCousinOf(A,C)",A→[nephewOf]B←[sonOf]C ⇒ A→[boyCousinOf]C,nephewOf,sonOf,boyCousinOf,118,56,0.008537732436147891,2.107142857142857
"motherOf(A,B) ∧ granddaughterOf(C,B) → greatGrandmotherOf(A,C)",A→[motherOf]B←[granddaughterOf]C ⇒ A→[greatGrandmotherOf]C,motherOf,granddaughterOf,greatGrandmotherOf,261,124,0.018884306490123726,2.1048387096774195
"fatherOf(A,B) ∧ sonOf(C,B) → grandfatherOf(A,C)",A→[fatherOf]B←[sonOf]C ⇒ A→[grandfatherOf]C,fatherOf,sonOf,grandfatherOf,227,108,0.016424281889877723,2.1018518518518516
"nephewOf(A,B) ∧ girlFirstCousinOnceRemovedOf(C,B) → boySecondCousinOf(A,C)",A→[nephewOf]B←[girlFirstCousinOnceRemovedOf]C ⇒ A→[boySecondCousinOf]C,nephewOf,girlFirstCousinOnceRemovedOf,boySecondCousinOf,65,31,0.004702988206352652,2.096774193548387
"greatAuntOf(A,B) ∧ girlCousinOf(C,B) → greatAuntOf(A,C)",A→[greatAuntOf]B←[girlCousinOf]C ⇒ A→[greatAuntOf]C,greatAuntOf,girlCousinOf,greatAuntOf,186,89,0.013457781636639896,2.0898876404494384
"girlCousinOf(A,B) ∧ sisterOf(C,B) → girlCousinOf(A,C)",A→[girlCousinOf]B←[sisterOf]C ⇒ A→[girlCousinOf]C,girlCousinOf,sisterOf,girlCousinOf,432,207,0.03125678315606686,2.0869565217391304
"motherOf(A,B) ∧ daughterOf(C,B) → grandmotherOf(A,C)",A→[motherOf]B←[daughterOf]C ⇒ A→[grandmotherOf]C,motherOf,daughterOf,grandmotherOf,240,115,0.017364879531148254,2.0869565217391304
"grandmotherOf(A,B) ∧ nieceOf(C,B) → greatGrandmotherOf(A,C)",A→[grandmotherOf]B←[nieceOf]C ⇒ A→[greatGrandmotherOf]C,grandmotherOf,nieceOf,greatGrandmotherOf,530,254,0.038347442297952394,2.0866141732283463
"fatherOf(A,B) ∧ nieceOf(C,B) → grandfatherOf(A,C)",A→[fatherOf]B←[nieceOf]C ⇒ A→[grandfatherOf]C,fatherOf,nieceOf,grandfatherOf,438,210,0.03169090514434556,2.085714285714286
"secondUncleOf(A,B) ∧ greatGrandfatherOf(C,B) → grandsonOf(A,C)",A→[secondUncleOf]B←[greatGrandfatherOf]C ⇒ A→[grandsonOf]C,secondUncleOf,greatGrandfatherOf,grandsonOf,158,76,0.0114318790246726,2.0789473684210527
"sonOf(A,B) ∧ girlFirstCousinOnceRemovedOf(C,B) → boySecondCousinOf(A,C)",A→[sonOf]B←[girlFirstCousinOnceRemovedOf]C ⇒ A→[boySecondCousinOf]C,sonOf,girlFirstCousinOnceRemovedOf,boySecondCousinOf,27,13,0.0019535489472541786,2.076923076923077
"nieceOf(A,B) ∧ daughterOf(C,B) → girlCousinOf(A,C)",A→[nieceOf]B←[daughterOf]C ⇒ A→[girlCousinOf]C,nieceOf,daughterOf,girlCousinOf,141,68,0.010201866724549598,2.073529411764706
"daughterOf(A,B) ∧ boyFirstCousinOnceRemovedOf(C,B) → girlSecondCousinOf(A,C)",A→[daughterOf]B←[boyFirstCousinOnceRemovedOf]C ⇒ A→[girlSecondCousinOf]C,daughterOf,boyFirstCousinOnceRemovedOf,girlSecondCousinOf,29,14,0.002098256276680414,2.0714285714285716
"boySecondCousinOf(A,B) ∧ brotherOf(C,B) → boySecondCousinOf(A,C)",A→[boySecondCousinOf]B←[brotherOf]C ⇒ A→[boySecondCousinOf]C,boySecondCousinOf,brotherOf,boySecondCousinOf,29,14,0.002098256276680414,2.0714285714285716
"uncleOf(A,B) ∧ greatGrandmotherOf(C,B) → grandsonOf(A,C)",A→[uncleOf]B←[greatGrandmotherOf]C ⇒ A→[grandsonOf]C,uncleOf,greatGrandmotherOf,grandsonOf,509,246,0.03682801533897692,2.069105691056911
"greatUncleOf(A,B) ∧ brotherOf(C,B) → greatUncleOf(A,C)",A→[greatUncleOf]B←[brotherOf]C ⇒ A→[greatUncleOf]C,greatUncleOf,brotherOf,greatUncleOf,148,72,0.010708342377541423,2.0555555555555554
