Rule,Pattern,Rel_B_to_A,Rel_B_to_C,Rel_A_to_C,Rel_C_to_A,Count,Body_Count,Support,Confidence
"girlSecondCousinOf(B,A) ∧ daughterOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A←[girlSecondCousinOf]B→[daughterOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondUncleOf]C",girlSecondCousinOf,daughterOf,boyFirstCousinOnceRemovedOf,secondUncleOf,16,43,0.0011576586354098836,0.37209302325581395
"girlCousinOf(B,A) ∧ auntOf(B,C) → secondAuntOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A←[girlCousinOf]B→[auntOf]C ⇒ A↔[secondAuntOf,boyFirstCousinOnceRemovedOf]C",girlCousinOf,auntOf,secondAuntOf,boyFirstCousinOnceRemovedOf,108,291,0.007814195789016714,0.3711340206185567
"sonOf(B,A) ∧ grandsonOf(B,C) → sonOf(A,C) ∧ fatherOf(C,A)","A←[sonOf]B→[grandsonOf]C ⇒ A↔[sonOf,fatherOf]C",sonOf,grandsonOf,sonOf,fatherOf,135,369,0.009767744736270892,0.36585365853658536
"girlSecondCousinOf(B,A) ∧ nieceOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[girlSecondCousinOf]B→[nieceOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",girlSecondCousinOf,nieceOf,boyFirstCousinOnceRemovedOf,secondAuntOf,34,93,0.0024600246002460025,0.3655913978494624
"girlCousinOf(B,A) ∧ girlFirstCousinOnceRemovedOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[girlCousinOf]B→[girlFirstCousinOnceRemovedOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondAuntOf]C",girlCousinOf,girlFirstCousinOnceRemovedOf,girlFirstCousinOnceRemovedOf,secondAuntOf,40,111,0.002894146588524709,0.36036036036036034
"secondAuntOf(B,A) ∧ motherOf(B,C) → boySecondCousinOf(A,C) ∧ girlSecondCousinOf(C,A)","A←[secondAuntOf]B→[motherOf]C ⇒ A↔[boySecondCousinOf,girlSecondCousinOf]C",secondAuntOf,motherOf,boySecondCousinOf,girlSecondCousinOf,18,50,0.001302365964836119,0.36
"nephewOf(B,A) ∧ nephewOf(B,C) → sisterOf(A,C) ∧ sisterOf(C,A)","A←[nephewOf]B→[nephewOf]C ⇒ A↔[sisterOf,sisterOf]C",nephewOf,nephewOf,sisterOf,sisterOf,132,372,0.00955068374213154,0.3548387096774194
"grandsonOf(B,A) ∧ nephewOf(B,C) → fatherOf(A,C) ∧ daughterOf(C,A)","A←[grandsonOf]B→[nephewOf]C ⇒ A↔[fatherOf,daughterOf]C",grandsonOf,nephewOf,fatherOf,daughterOf,232,654,0.016786050213443312,0.3547400611620795
"sonOf(B,A) ∧ nephewOf(B,C) → brotherOf(A,C) ∧ sisterOf(C,A)","A←[sonOf]B→[nephewOf]C ⇒ A↔[brotherOf,sisterOf]C",sonOf,nephewOf,brotherOf,sisterOf,127,361,0.00918891541856595,0.3518005540166205
"brotherOf(B,A) ∧ boyFirstCousinOnceRemovedOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[brotherOf]B→[boyFirstCousinOnceRemovedOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",brotherOf,boyFirstCousinOnceRemovedOf,boyFirstCousinOnceRemovedOf,secondAuntOf,44,126,0.0031835612473771796,0.3492063492063492
"grandmotherOf(B,A) ∧ auntOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[grandmotherOf]B→[auntOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",grandmotherOf,auntOf,boyFirstCousinOnceRemovedOf,secondAuntOf,59,169,0.004268866218073946,0.34911242603550297
"secondUncleOf(B,A) ∧ nephewOf(B,C) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A←[secondUncleOf]B→[nephewOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",secondUncleOf,nephewOf,grandsonOf,grandmotherOf,55,158,0.003979451559221475,0.34810126582278483
"secondUncleOf(B,A) ∧ brotherOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[secondUncleOf]B→[brotherOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",secondUncleOf,brotherOf,boyFirstCousinOnceRemovedOf,secondAuntOf,78,226,0.005643585847623182,0.34513274336283184
"greatUncleOf(B,A) ∧ fatherOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A←[greatUncleOf]B→[fatherOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondUncleOf]C",greatUncleOf,fatherOf,boyFirstCousinOnceRemovedOf,secondUncleOf,48,140,0.0034729759062296505,0.34285714285714286
"uncleOf(B,A) ∧ secondUncleOf(B,C) → boySecondCousinOf(A,C) ∧ girlSecondCousinOf(C,A)","A←[uncleOf]B→[secondUncleOf]C ⇒ A↔[boySecondCousinOf,girlSecondCousinOf]C",uncleOf,secondUncleOf,boySecondCousinOf,girlSecondCousinOf,35,103,0.0025323782649591202,0.33980582524271846
"girlCousinOf(B,A) ∧ daughterOf(B,C) → nieceOf(A,C) ∧ auntOf(C,A)","A←[girlCousinOf]B→[daughterOf]C ⇒ A↔[nieceOf,auntOf]C",girlCousinOf,daughterOf,nieceOf,auntOf,91,268,0.006584183488893712,0.33955223880597013
"secondAuntOf(B,A) ∧ nieceOf(B,C) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A←[secondAuntOf]B→[nieceOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",secondAuntOf,nieceOf,grandsonOf,grandmotherOf,59,175,0.004268866218073946,0.33714285714285713
"granddaughterOf(B,A) ∧ nieceOf(B,C) → fatherOf(A,C) ∧ daughterOf(C,A)","A←[granddaughterOf]B→[nieceOf]C ⇒ A↔[fatherOf,daughterOf]C",granddaughterOf,nieceOf,fatherOf,daughterOf,212,629,0.015338976919180956,0.3370429252782194
"daughterOf(B,A) ∧ grandmotherOf(B,C) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A←[daughterOf]B→[grandmotherOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",daughterOf,grandmotherOf,greatGrandfatherOf,greatGrandsonOf,147,437,0.010635988712828304,0.33638443935926776
"boyCousinOf(B,A) ∧ fatherOf(B,C) → secondAuntOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A←[boyCousinOf]B→[fatherOf]C ⇒ A↔[secondAuntOf,boyFirstCousinOnceRemovedOf]C",boyCousinOf,fatherOf,secondAuntOf,boyFirstCousinOnceRemovedOf,53,158,0.003834744229795239,0.33544303797468356
"boyCousinOf(B,A) ∧ brotherOf(B,C) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A←[boyCousinOf]B→[brotherOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",boyCousinOf,brotherOf,girlCousinOf,girlCousinOf,198,593,0.014326025613197308,0.33389544688026984
"greatUncleOf(B,A) ∧ brotherOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[greatUncleOf]B→[brotherOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",greatUncleOf,brotherOf,granddaughterOf,grandfatherOf,79,237,0.0057159395123363,0.3333333333333333
"girlFirstCousinOnceRemovedOf(B,A) ∧ granddaughterOf(B,C) → nephewOf(A,C) ∧ uncleOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[granddaughterOf]C ⇒ A↔[nephewOf,uncleOf]C",girlFirstCousinOnceRemovedOf,granddaughterOf,nephewOf,uncleOf,51,153,0.0036900369003690036,0.3333333333333333
"sonOf(B,A) ∧ grandfatherOf(B,C) → greatGrandfatherOf(A,C) ∧ greatGranddaughterOf(C,A)","A←[sonOf]B→[grandfatherOf]C ⇒ A↔[greatGrandfatherOf,greatGranddaughterOf]C",sonOf,grandfatherOf,greatGrandfatherOf,greatGranddaughterOf,162,487,0.01172129368352507,0.3326488706365503
"brotherOf(B,A) ∧ fatherOf(B,C) → auntOf(A,C) ∧ nephewOf(C,A)","A←[brotherOf]B→[fatherOf]C ⇒ A↔[auntOf,nephewOf]C",brotherOf,fatherOf,auntOf,nephewOf,143,431,0.010346574053975833,0.33178654292343385
"secondAuntOf(B,A) ∧ auntOf(B,C) → boySecondCousinOf(A,C) ∧ girlSecondCousinOf(C,A)","A←[secondAuntOf]B→[auntOf]C ⇒ A↔[boySecondCousinOf,girlSecondCousinOf]C",secondAuntOf,auntOf,boySecondCousinOf,girlSecondCousinOf,34,103,0.0024600246002460025,0.3300970873786408
"daughterOf(B,A) ∧ granddaughterOf(B,C) → sonOf(A,C) ∧ fatherOf(C,A)","A←[daughterOf]B→[granddaughterOf]C ⇒ A↔[sonOf,fatherOf]C",daughterOf,granddaughterOf,sonOf,fatherOf,133,403,0.009623037406844656,0.33002481389578164
"daughterOf(B,A) ∧ motherOf(B,C) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A←[daughterOf]B→[motherOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",daughterOf,motherOf,grandfatherOf,granddaughterOf,164,497,0.011866001012951306,0.3299798792756539
"boyCousinOf(B,A) ∧ boyFirstCousinOnceRemovedOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[boyCousinOf]B→[boyFirstCousinOnceRemovedOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",boyCousinOf,boyFirstCousinOnceRemovedOf,boyFirstCousinOnceRemovedOf,secondAuntOf,32,97,0.002315317270819767,0.32989690721649484
"uncleOf(B,A) ∧ sonOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[uncleOf]B→[sonOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",uncleOf,sonOf,granddaughterOf,grandfatherOf,214,650,0.015483684248607191,0.3292307692307692
"grandsonOf(B,A) ∧ greatGrandsonOf(B,C) → daughterOf(A,C) ∧ fatherOf(C,A)","A←[grandsonOf]B→[greatGrandsonOf]C ⇒ A↔[daughterOf,fatherOf]C",grandsonOf,greatGrandsonOf,daughterOf,fatherOf,132,402,0.00955068374213154,0.3283582089552239
"boyFirstCousinOnceRemovedOf(B,A) ∧ grandsonOf(B,C) → nieceOf(A,C) ∧ auntOf(C,A)","A←[boyFirstCousinOnceRemovedOf]B→[grandsonOf]C ⇒ A↔[nieceOf,auntOf]C",boyFirstCousinOnceRemovedOf,grandsonOf,nieceOf,auntOf,59,180,0.004268866218073946,0.3277777777777778
"sisterOf(B,A) ∧ greatAuntOf(B,C) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A←[sisterOf]B→[greatAuntOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",sisterOf,greatAuntOf,grandfatherOf,grandsonOf,102,312,0.007380073800738007,0.3269230769230769
"grandmotherOf(B,A) ∧ auntOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A←[grandmotherOf]B→[auntOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondUncleOf]C",grandmotherOf,auntOf,boyFirstCousinOnceRemovedOf,secondUncleOf,55,169,0.003979451559221475,0.3254437869822485
"girlCousinOf(B,A) ∧ daughterOf(B,C) → nephewOf(A,C) ∧ auntOf(C,A)","A←[girlCousinOf]B→[daughterOf]C ⇒ A↔[nephewOf,auntOf]C",girlCousinOf,daughterOf,nephewOf,auntOf,87,268,0.0062947688300412415,0.3246268656716418
"sisterOf(B,A) ∧ sisterOf(B,C) → sisterOf(A,C) ∧ brotherOf(C,A)","A←[sisterOf]B→[sisterOf]C ⇒ A↔[sisterOf,brotherOf]C",sisterOf,sisterOf,sisterOf,brotherOf,165,511,0.011938354677664425,0.32289628180039137
"secondUncleOf(B,A) ∧ nephewOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[secondUncleOf]B→[nephewOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",secondUncleOf,nephewOf,granddaughterOf,grandfatherOf,51,158,0.0036900369003690036,0.3227848101265823
"girlSecondCousinOf(B,A) ∧ greatGranddaughterOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[girlSecondCousinOf]B→[greatGranddaughterOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",girlSecondCousinOf,greatGranddaughterOf,greatGrandsonOf,greatGrandmotherOf,40,124,0.002894146588524709,0.3225806451612903
"girlSecondCousinOf(B,A) ∧ greatGranddaughterOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[girlSecondCousinOf]B→[greatGranddaughterOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",girlSecondCousinOf,greatGranddaughterOf,greatGrandsonOf,greatGrandfatherOf,40,124,0.002894146588524709,0.3225806451612903
"greatAuntOf(B,A) ∧ daughterOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[greatAuntOf]B→[daughterOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",greatAuntOf,daughterOf,greatGrandsonOf,greatGrandfatherOf,154,479,0.011142464365820129,0.32150313152400833
"girlFirstCousinOnceRemovedOf(B,A) ∧ daughterOf(B,C) → boyCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[daughterOf]C ⇒ A↔[boyCousinOf,boyCousinOf]C",girlFirstCousinOnceRemovedOf,daughterOf,boyCousinOf,boyCousinOf,36,113,0.002604731929672238,0.3185840707964602
"girlSecondCousinOf(B,A) ∧ girlSecondCousinOf(B,C) → brotherOf(A,C) ∧ brotherOf(C,A)","A←[girlSecondCousinOf]B→[girlSecondCousinOf]C ⇒ A↔[brotherOf,brotherOf]C",girlSecondCousinOf,girlSecondCousinOf,brotherOf,brotherOf,13,41,0.0009405976412705303,0.3170731707317073
"boyFirstCousinOnceRemovedOf(B,A) ∧ nephewOf(B,C) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A←[boyFirstCousinOnceRemovedOf]B→[nephewOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",boyFirstCousinOnceRemovedOf,nephewOf,girlCousinOf,girlCousinOf,108,341,0.007814195789016714,0.31671554252199413
"grandsonOf(B,A) ∧ greatGrandsonOf(B,C) → sonOf(A,C) ∧ fatherOf(C,A)","A←[grandsonOf]B→[greatGrandsonOf]C ⇒ A↔[sonOf,fatherOf]C",grandsonOf,greatGrandsonOf,sonOf,fatherOf,127,402,0.00918891541856595,0.31592039800995025
"brotherOf(B,A) ∧ nephewOf(B,C) → nieceOf(A,C) ∧ auntOf(C,A)","A←[brotherOf]B→[nephewOf]C ⇒ A↔[nieceOf,auntOf]C",brotherOf,nephewOf,nieceOf,auntOf,222,703,0.016062513566312133,0.3157894736842105
"brotherOf(B,A) ∧ nephewOf(B,C) → nephewOf(A,C) ∧ auntOf(C,A)","A←[brotherOf]B→[nephewOf]C ⇒ A↔[nephewOf,auntOf]C",brotherOf,nephewOf,nephewOf,auntOf,222,703,0.016062513566312133,0.3157894736842105
"uncleOf(B,A) ∧ boyCousinOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[uncleOf]B→[boyCousinOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",uncleOf,boyCousinOf,boyFirstCousinOnceRemovedOf,secondAuntOf,93,295,0.006728890818319948,0.3152542372881356
"daughterOf(B,A) ∧ auntOf(B,C) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A←[daughterOf]B→[auntOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",daughterOf,auntOf,grandfatherOf,grandsonOf,271,861,0.0196078431372549,0.3147502903600465
"girlFirstCousinOnceRemovedOf(B,A) ∧ nieceOf(B,C) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[nieceOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",girlFirstCousinOnceRemovedOf,nieceOf,girlCousinOf,boyCousinOf,77,245,0.0055712321829100644,0.3142857142857143
"sisterOf(B,A) ∧ greatAuntOf(B,C) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A←[sisterOf]B→[greatAuntOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",sisterOf,greatAuntOf,grandfatherOf,granddaughterOf,98,312,0.007090659141885536,0.3141025641025641
"brotherOf(B,A) ∧ brotherOf(B,C) → sisterOf(A,C) ∧ sisterOf(C,A)","A←[brotherOf]B→[brotherOf]C ⇒ A↔[sisterOf,sisterOf]C",brotherOf,brotherOf,sisterOf,sisterOf,135,431,0.009767744736270892,0.31322505800464034
"sisterOf(B,A) ∧ daughterOf(B,C) → daughterOf(A,C) ∧ fatherOf(C,A)","A←[sisterOf]B→[daughterOf]C ⇒ A↔[daughterOf,fatherOf]C",sisterOf,daughterOf,daughterOf,fatherOf,233,745,0.016858403878156427,0.312751677852349
"daughterOf(B,A) ∧ motherOf(B,C) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A←[daughterOf]B→[motherOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",daughterOf,motherOf,grandfatherOf,grandsonOf,155,497,0.011214818030533246,0.3118712273641851
"uncleOf(B,A) ∧ grandfatherOf(B,C) → secondUncleOf(A,C) ∧ girlFirstCousinOnceRemovedOf(C,A)","A←[uncleOf]B→[grandfatherOf]C ⇒ A↔[secondUncleOf,girlFirstCousinOnceRemovedOf]C",uncleOf,grandfatherOf,secondUncleOf,girlFirstCousinOnceRemovedOf,51,164,0.0036900369003690036,0.31097560975609756
"boySecondCousinOf(B,A) ∧ nephewOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A←[boySecondCousinOf]B→[nephewOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondUncleOf]C",boySecondCousinOf,nephewOf,girlFirstCousinOnceRemovedOf,secondUncleOf,35,113,0.0025323782649591202,0.30973451327433627
"daughterOf(B,A) ∧ nieceOf(B,C) → sisterOf(A,C) ∧ sisterOf(C,A)","A←[daughterOf]B→[nieceOf]C ⇒ A↔[sisterOf,sisterOf]C",daughterOf,nieceOf,sisterOf,sisterOf,105,340,0.00759713479487736,0.3088235294117647
"greatUncleOf(B,A) ∧ sonOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[greatUncleOf]B→[sonOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",greatUncleOf,sonOf,greatGrandsonOf,greatGrandfatherOf,105,340,0.00759713479487736,0.3088235294117647
"sonOf(B,A) ∧ fatherOf(B,C) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A←[sonOf]B→[fatherOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",sonOf,fatherOf,grandfatherOf,grandsonOf,164,532,0.011866001012951306,0.3082706766917293
"sonOf(B,A) ∧ fatherOf(B,C) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A←[sonOf]B→[fatherOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",sonOf,fatherOf,grandfatherOf,granddaughterOf,164,532,0.011866001012951306,0.3082706766917293
"girlFirstCousinOnceRemovedOf(B,A) ∧ granddaughterOf(B,C) → nieceOf(A,C) ∧ uncleOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[granddaughterOf]C ⇒ A↔[nieceOf,uncleOf]C",girlFirstCousinOnceRemovedOf,granddaughterOf,nieceOf,uncleOf,47,153,0.0034006222415165327,0.30718954248366015
"brotherOf(B,A) ∧ sonOf(B,C) → daughterOf(A,C) ∧ fatherOf(C,A)","A←[brotherOf]B→[sonOf]C ⇒ A↔[daughterOf,fatherOf]C",brotherOf,sonOf,daughterOf,fatherOf,222,725,0.016062513566312133,0.3062068965517241
"greatUncleOf(B,A) ∧ sonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[greatUncleOf]B→[sonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",greatUncleOf,sonOf,greatGranddaughterOf,greatGrandfatherOf,104,340,0.007524781130164243,0.3058823529411765
"boyFirstCousinOnceRemovedOf(B,A) ∧ grandsonOf(B,C) → nephewOf(A,C) ∧ auntOf(C,A)","A←[boyFirstCousinOnceRemovedOf]B→[grandsonOf]C ⇒ A↔[nephewOf,auntOf]C",boyFirstCousinOnceRemovedOf,grandsonOf,nephewOf,auntOf,55,180,0.003979451559221475,0.3055555555555556
"sisterOf(B,A) ∧ girlCousinOf(B,C) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A←[sisterOf]B→[girlCousinOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",sisterOf,girlCousinOf,girlCousinOf,girlCousinOf,234,769,0.016930757542869546,0.30429128738621586
"girlSecondCousinOf(B,A) ∧ daughterOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[girlSecondCousinOf]B→[daughterOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",girlSecondCousinOf,daughterOf,boyFirstCousinOnceRemovedOf,secondAuntOf,13,43,0.0009405976412705303,0.3023255813953488
"girlSecondCousinOf(B,A) ∧ nieceOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A←[girlSecondCousinOf]B→[nieceOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondUncleOf]C",girlSecondCousinOf,nieceOf,boyFirstCousinOnceRemovedOf,secondUncleOf,28,93,0.0020259026119672963,0.3010752688172043
"sonOf(B,A) ∧ greatGrandsonOf(B,C) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A←[sonOf]B→[greatGrandsonOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",sonOf,greatGrandsonOf,grandsonOf,grandmotherOf,122,406,0.008827147095000362,0.30049261083743845
"sonOf(B,A) ∧ greatGrandsonOf(B,C) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A←[sonOf]B→[greatGrandsonOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",sonOf,greatGrandsonOf,grandsonOf,grandfatherOf,122,406,0.008827147095000362,0.30049261083743845
"greatAuntOf(B,A) ∧ motherOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[greatAuntOf]B→[motherOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",greatAuntOf,motherOf,boyFirstCousinOnceRemovedOf,secondAuntOf,48,160,0.0034729759062296505,0.3
"greatUncleOf(B,A) ∧ fatherOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[greatUncleOf]B→[fatherOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",greatUncleOf,fatherOf,boyFirstCousinOnceRemovedOf,secondAuntOf,42,140,0.003038853917950944,0.3
"greatUncleOf(B,A) ∧ brotherOf(B,C) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A←[greatUncleOf]B→[brotherOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",greatUncleOf,brotherOf,grandsonOf,grandmotherOf,71,237,0.005137110194631358,0.29957805907172996
"boyCousinOf(B,A) ∧ boyFirstCousinOnceRemovedOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[boyCousinOf]B→[boyFirstCousinOnceRemovedOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondAuntOf]C",boyCousinOf,boyFirstCousinOnceRemovedOf,girlFirstCousinOnceRemovedOf,secondAuntOf,29,97,0.002098256276680414,0.29896907216494845
