Rule,Pattern,Relation1,Relation2,Rel_A_to_C,Rel_C_to_A,Count,Body_Count,Support,Confidence
"grandfatherOf(A,B) ∧ nephewOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[grandfatherOf]B←[nephewOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",grandfatherOf,nephewOf,greatGrandfatherOf,greatGrandsonOf,271,271,0.0196078431372549,1.0
"sisterOf(A,B) ∧ sisterOf(C,B) → sisterOf(A,C) ∧ sisterOf(C,A)","A→[sisterOf]B←[sisterOf]C ⇒ A↔[sisterOf,sisterOf]C",sisterOf,sisterOf,sisterOf,sisterOf,270,270,0.019535489472541783,1.0
"nephewOf(A,B) ∧ grandfatherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[nephewOf]B←[grandfatherOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",nephewOf,grandfatherOf,greatGrandsonOf,greatGrandfatherOf,270,270,0.019535489472541783,1.0
"auntOf(A,B) ∧ greatGrandmotherOf(C,B) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A→[auntOf]B←[greatGrandmotherOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",auntOf,greatGrandmotherOf,granddaughterOf,grandmotherOf,270,270,0.019535489472541783,1.0
"nieceOf(A,B) ∧ grandfatherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[nieceOf]B←[grandfatherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",nieceOf,grandfatherOf,greatGranddaughterOf,greatGrandfatherOf,268,268,0.01939078214311555,1.0
"daughterOf(A,B) ∧ sonOf(C,B) → sisterOf(A,C) ∧ brotherOf(C,A)","A→[daughterOf]B←[sonOf]C ⇒ A↔[sisterOf,brotherOf]C",daughterOf,sonOf,sisterOf,brotherOf,268,268,0.01939078214311555,1.0
"grandmotherOf(A,B) ∧ boyCousinOf(C,B) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A→[grandmotherOf]B←[boyCousinOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",grandmotherOf,boyCousinOf,grandmotherOf,grandsonOf,265,265,0.019173721148976197,1.0
"grandfatherOf(A,B) ∧ girlCousinOf(C,B) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A→[grandfatherOf]B←[girlCousinOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",grandfatherOf,girlCousinOf,grandfatherOf,granddaughterOf,265,265,0.019173721148976197,1.0
"grandfatherOf(A,B) ∧ nieceOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[grandfatherOf]B←[nieceOf]C ⇒ A↔[greatGrandfatherOf,greatGranddaughterOf]C",grandfatherOf,nieceOf,greatGrandfatherOf,greatGranddaughterOf,262,262,0.01895666015483684,1.0
"motherOf(A,B) ∧ nephewOf(C,B) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A→[motherOf]B←[nephewOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",motherOf,nephewOf,grandmotherOf,grandsonOf,259,259,0.01873959916069749,1.0
"daughterOf(A,B) ∧ daughterOf(C,B) → sisterOf(A,C) ∧ sisterOf(C,A)","A→[daughterOf]B←[daughterOf]C ⇒ A↔[sisterOf,sisterOf]C",daughterOf,daughterOf,sisterOf,sisterOf,259,259,0.01873959916069749,1.0
"auntOf(A,B) ∧ greatGrandfatherOf(C,B) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A→[auntOf]B←[greatGrandfatherOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",auntOf,greatGrandfatherOf,granddaughterOf,grandfatherOf,257,257,0.018594891831271256,1.0
"auntOf(A,B) ∧ brotherOf(C,B) → auntOf(A,C) ∧ nephewOf(C,A)","A→[auntOf]B←[brotherOf]C ⇒ A↔[auntOf,nephewOf]C",auntOf,brotherOf,auntOf,nephewOf,255,255,0.01845018450184502,1.0
"greatGrandfatherOf(A,B) ∧ sisterOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[greatGrandfatherOf]B←[sisterOf]C ⇒ A↔[greatGrandfatherOf,greatGranddaughterOf]C",greatGrandfatherOf,sisterOf,greatGrandfatherOf,greatGranddaughterOf,255,255,0.01845018450184502,1.0
"grandmotherOf(A,B) ∧ nieceOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[grandmotherOf]B←[nieceOf]C ⇒ A↔[greatGrandmotherOf,greatGranddaughterOf]C",grandmotherOf,nieceOf,greatGrandmotherOf,greatGranddaughterOf,254,254,0.0183778308371319,1.0
"nephewOf(A,B) ∧ grandmotherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[nephewOf]B←[grandmotherOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",nephewOf,grandmotherOf,greatGrandsonOf,greatGrandmotherOf,251,251,0.018160769842992548,1.0
"nephewOf(A,B) ∧ fatherOf(C,B) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A→[nephewOf]B←[fatherOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",nephewOf,fatherOf,grandsonOf,grandfatherOf,250,250,0.01808841617827943,1.0
"grandfatherOf(A,B) ∧ auntOf(C,B) → fatherOf(A,C) ∧ daughterOf(C,A)","A→[grandfatherOf]B←[auntOf]C ⇒ A↔[fatherOf,daughterOf]C",grandfatherOf,auntOf,fatherOf,daughterOf,248,248,0.017943708848853195,1.0
"sisterOf(A,B) ∧ auntOf(C,B) → nieceOf(A,C) ∧ auntOf(C,A)","A→[sisterOf]B←[auntOf]C ⇒ A↔[nieceOf,auntOf]C",sisterOf,auntOf,nieceOf,auntOf,243,243,0.017581940525287606,1.0
"sisterOf(A,B) ∧ greatGrandmotherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[sisterOf]B←[greatGrandmotherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",sisterOf,greatGrandmotherOf,greatGranddaughterOf,greatGrandmotherOf,243,243,0.017581940525287606,1.0
"greatGrandfatherOf(A,B) ∧ girlCousinOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[greatGrandfatherOf]B←[girlCousinOf]C ⇒ A↔[greatGrandfatherOf,greatGranddaughterOf]C",greatGrandfatherOf,girlCousinOf,greatGrandfatherOf,greatGranddaughterOf,242,242,0.017509586860574487,1.0
"girlCousinOf(A,B) ∧ greatGrandmotherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[girlCousinOf]B←[greatGrandmotherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",girlCousinOf,greatGrandmotherOf,greatGranddaughterOf,greatGrandmotherOf,241,241,0.01743723319586137,1.0
"greatGrandmotherOf(A,B) ∧ sisterOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[greatGrandmotherOf]B←[sisterOf]C ⇒ A↔[greatGrandmotherOf,greatGranddaughterOf]C",greatGrandmotherOf,sisterOf,greatGrandmotherOf,greatGranddaughterOf,240,240,0.017364879531148254,1.0
"motherOf(A,B) ∧ nieceOf(C,B) → grandmotherOf(A,C) ∧ granddaughterOf(C,A)","A→[motherOf]B←[nieceOf]C ⇒ A↔[grandmotherOf,granddaughterOf]C",motherOf,nieceOf,grandmotherOf,granddaughterOf,239,239,0.017292525866435135,1.0
"greatGrandfatherOf(A,B) ∧ brotherOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[greatGrandfatherOf]B←[brotherOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",greatGrandfatherOf,brotherOf,greatGrandfatherOf,greatGrandsonOf,239,239,0.017292525866435135,1.0
"auntOf(A,B) ∧ auntOf(C,B) → sisterOf(A,C) ∧ sisterOf(C,A)","A→[auntOf]B←[auntOf]C ⇒ A↔[sisterOf,sisterOf]C",auntOf,auntOf,sisterOf,sisterOf,231,231,0.016713696548730193,1.0
"nieceOf(A,B) ∧ fatherOf(C,B) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A→[nieceOf]B←[fatherOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",nieceOf,fatherOf,granddaughterOf,grandfatherOf,228,228,0.01649663555459084,1.0
"sisterOf(A,B) ∧ greatGrandfatherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[sisterOf]B←[greatGrandfatherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",sisterOf,greatGrandfatherOf,greatGranddaughterOf,greatGrandfatherOf,228,228,0.01649663555459084,1.0
"sisterOf(A,B) ∧ girlCousinOf(C,B) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[sisterOf]B←[girlCousinOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",sisterOf,girlCousinOf,girlCousinOf,girlCousinOf,225,225,0.016279574560451485,1.0
"brotherOf(A,B) ∧ greatGrandmotherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[brotherOf]B←[greatGrandmotherOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",brotherOf,greatGrandmotherOf,greatGrandsonOf,greatGrandmotherOf,220,220,0.0159178062368859,1.0
"greatGrandmotherOf(A,B) ∧ girlCousinOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[greatGrandmotherOf]B←[girlCousinOf]C ⇒ A↔[greatGrandmotherOf,greatGranddaughterOf]C",greatGrandmotherOf,girlCousinOf,greatGrandmotherOf,greatGranddaughterOf,219,219,0.01584545257217278,1.0
"girlCousinOf(A,B) ∧ greatGrandfatherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[girlCousinOf]B←[greatGrandfatherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",girlCousinOf,greatGrandfatherOf,greatGranddaughterOf,greatGrandfatherOf,218,218,0.015773098907459662,1.0
"girlCousinOf(A,B) ∧ brotherOf(C,B) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[girlCousinOf]B←[brotherOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",girlCousinOf,brotherOf,girlCousinOf,boyCousinOf,217,217,0.015700745242746544,1.0
"greatGrandmotherOf(A,B) ∧ brotherOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[greatGrandmotherOf]B←[brotherOf]C ⇒ A↔[greatGrandmotherOf,greatGrandsonOf]C",greatGrandmotherOf,brotherOf,greatGrandmotherOf,greatGrandsonOf,217,217,0.015700745242746544,1.0
"grandfatherOf(A,B) ∧ boyCousinOf(C,B) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A→[grandfatherOf]B←[boyCousinOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",grandfatherOf,boyCousinOf,grandfatherOf,grandsonOf,212,212,0.015338976919180956,1.0
"uncleOf(A,B) ∧ greatGrandmotherOf(C,B) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A→[uncleOf]B←[greatGrandmotherOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",uncleOf,greatGrandmotherOf,grandsonOf,grandmotherOf,211,211,0.01526662325446784,1.0
"fatherOf(A,B) ∧ nieceOf(C,B) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A→[fatherOf]B←[nieceOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",fatherOf,nieceOf,grandfatherOf,granddaughterOf,210,210,0.01519426958975472,1.0
"greatGrandmotherOf(A,B) ∧ boyCousinOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[greatGrandmotherOf]B←[boyCousinOf]C ⇒ A↔[greatGrandmotherOf,greatGrandsonOf]C",greatGrandmotherOf,boyCousinOf,greatGrandmotherOf,greatGrandsonOf,210,210,0.01519426958975472,1.0
"sisterOf(A,B) ∧ uncleOf(C,B) → nieceOf(A,C) ∧ uncleOf(C,A)","A→[sisterOf]B←[uncleOf]C ⇒ A↔[nieceOf,uncleOf]C",sisterOf,uncleOf,nieceOf,uncleOf,209,209,0.015121915925041604,1.0
"fatherOf(A,B) ∧ nephewOf(C,B) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A→[fatherOf]B←[nephewOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",fatherOf,nephewOf,grandfatherOf,grandsonOf,208,208,0.015049562260328485,1.0
"girlCousinOf(A,B) ∧ sisterOf(C,B) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[girlCousinOf]B←[sisterOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",girlCousinOf,sisterOf,girlCousinOf,girlCousinOf,207,207,0.014977208595615368,1.0
"grandfatherOf(A,B) ∧ uncleOf(C,B) → fatherOf(A,C) ∧ sonOf(C,A)","A→[grandfatherOf]B←[uncleOf]C ⇒ A↔[fatherOf,sonOf]C",grandfatherOf,uncleOf,fatherOf,sonOf,206,206,0.01490485493090225,1.0
"brotherOf(A,B) ∧ sisterOf(C,B) → brotherOf(A,C) ∧ sisterOf(C,A)","A→[brotherOf]B←[sisterOf]C ⇒ A↔[brotherOf,sisterOf]C",brotherOf,sisterOf,brotherOf,sisterOf,205,205,0.014832501266189133,1.0
"fatherOf(A,B) ∧ brotherOf(C,B) → fatherOf(A,C) ∧ sonOf(C,A)","A→[fatherOf]B←[brotherOf]C ⇒ A↔[fatherOf,sonOf]C",fatherOf,brotherOf,fatherOf,sonOf,204,204,0.014760147601476014,1.0
"greatGrandfatherOf(A,B) ∧ boyCousinOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[greatGrandfatherOf]B←[boyCousinOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",greatGrandfatherOf,boyCousinOf,greatGrandfatherOf,greatGrandsonOf,203,203,0.014687793936762897,1.0
"greatAuntOf(A,B) ∧ uncleOf(C,B) → auntOf(A,C) ∧ nephewOf(C,A)","A→[greatAuntOf]B←[uncleOf]C ⇒ A↔[auntOf,nephewOf]C",greatAuntOf,uncleOf,auntOf,nephewOf,202,202,0.014615440272049779,1.0
"auntOf(A,B) ∧ uncleOf(C,B) → sisterOf(A,C) ∧ brotherOf(C,A)","A→[auntOf]B←[uncleOf]C ⇒ A↔[sisterOf,brotherOf]C",auntOf,uncleOf,sisterOf,brotherOf,199,199,0.014398379277910427,1.0
"auntOf(A,B) ∧ sisterOf(C,B) → auntOf(A,C) ∧ nieceOf(C,A)","A→[auntOf]B←[sisterOf]C ⇒ A↔[auntOf,nieceOf]C",auntOf,sisterOf,auntOf,nieceOf,199,199,0.014398379277910427,1.0
"nieceOf(A,B) ∧ motherOf(C,B) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A→[nieceOf]B←[motherOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",nieceOf,motherOf,granddaughterOf,grandmotherOf,199,199,0.014398379277910427,1.0
"nephewOf(A,B) ∧ motherOf(C,B) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A→[nephewOf]B←[motherOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",nephewOf,motherOf,grandsonOf,grandmotherOf,199,199,0.014398379277910427,1.0
"brotherOf(A,B) ∧ greatGrandfatherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[brotherOf]B←[greatGrandfatherOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",brotherOf,greatGrandfatherOf,greatGrandsonOf,greatGrandfatherOf,198,198,0.014326025613197308,1.0
"boyCousinOf(A,B) ∧ greatGrandfatherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[boyCousinOf]B←[greatGrandfatherOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",boyCousinOf,greatGrandfatherOf,greatGrandsonOf,greatGrandfatherOf,197,197,0.014253671948484191,1.0
"auntOf(A,B) ∧ grandfatherOf(C,B) → daughterOf(A,C) ∧ fatherOf(C,A)","A→[auntOf]B←[grandfatherOf]C ⇒ A↔[daughterOf,fatherOf]C",auntOf,grandfatherOf,daughterOf,fatherOf,196,196,0.014181318283771073,1.0
"uncleOf(A,B) ∧ greatGrandfatherOf(C,B) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A→[uncleOf]B←[greatGrandfatherOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",uncleOf,greatGrandfatherOf,grandsonOf,grandfatherOf,196,196,0.014181318283771073,1.0
"sisterOf(A,B) ∧ boyCousinOf(C,B) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[sisterOf]B←[boyCousinOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",sisterOf,boyCousinOf,girlCousinOf,boyCousinOf,192,192,0.013891903624918602,1.0
"brotherOf(A,B) ∧ brotherOf(C,B) → brotherOf(A,C) ∧ brotherOf(C,A)","A→[brotherOf]B←[brotherOf]C ⇒ A↔[brotherOf,brotherOf]C",brotherOf,brotherOf,brotherOf,brotherOf,190,190,0.013747196295492366,1.0
"boyCousinOf(A,B) ∧ greatGrandmotherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[boyCousinOf]B←[greatGrandmotherOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",boyCousinOf,greatGrandmotherOf,greatGrandsonOf,greatGrandmotherOf,190,190,0.013747196295492366,1.0
"brotherOf(A,B) ∧ auntOf(C,B) → nephewOf(A,C) ∧ auntOf(C,A)","A→[brotherOf]B←[auntOf]C ⇒ A↔[nephewOf,auntOf]C",brotherOf,auntOf,nephewOf,auntOf,189,189,0.01367484263077925,1.0
"sonOf(A,B) ∧ sonOf(C,B) → brotherOf(A,C) ∧ brotherOf(C,A)","A→[sonOf]B←[sonOf]C ⇒ A↔[brotherOf,brotherOf]C",sonOf,sonOf,brotherOf,brotherOf,186,186,0.013457781636639896,1.0
"fatherOf(A,B) ∧ sisterOf(C,B) → fatherOf(A,C) ∧ daughterOf(C,A)","A→[fatherOf]B←[sisterOf]C ⇒ A↔[fatherOf,daughterOf]C",fatherOf,sisterOf,fatherOf,daughterOf,185,185,0.013385427971926779,1.0
"sonOf(A,B) ∧ daughterOf(C,B) → brotherOf(A,C) ∧ sisterOf(C,A)","A→[sonOf]B←[daughterOf]C ⇒ A↔[brotherOf,sisterOf]C",sonOf,daughterOf,brotherOf,sisterOf,185,185,0.013385427971926779,1.0
"grandmotherOf(A,B) ∧ auntOf(C,B) → motherOf(A,C) ∧ daughterOf(C,A)","A→[grandmotherOf]B←[auntOf]C ⇒ A↔[motherOf,daughterOf]C",grandmotherOf,auntOf,motherOf,daughterOf,183,183,0.013240720642500543,1.0
"girlCousinOf(A,B) ∧ grandfatherOf(C,B) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A→[girlCousinOf]B←[grandfatherOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",girlCousinOf,grandfatherOf,granddaughterOf,grandfatherOf,180,180,0.01302365964836119,1.0
"boyCousinOf(A,B) ∧ grandfatherOf(C,B) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A→[boyCousinOf]B←[grandfatherOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",boyCousinOf,grandfatherOf,grandsonOf,grandfatherOf,179,179,0.012951305983648072,1.0
"uncleOf(A,B) ∧ auntOf(C,B) → brotherOf(A,C) ∧ sisterOf(C,A)","A→[uncleOf]B←[auntOf]C ⇒ A↔[brotherOf,sisterOf]C",uncleOf,auntOf,brotherOf,sisterOf,172,172,0.012444830330656248,1.0
"auntOf(A,B) ∧ fatherOf(C,B) → sisterOf(A,C) ∧ brotherOf(C,A)","A→[auntOf]B←[fatherOf]C ⇒ A↔[sisterOf,brotherOf]C",auntOf,fatherOf,sisterOf,brotherOf,160,160,0.011576586354098835,1.0
"motherOf(A,B) ∧ grandsonOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[motherOf]B←[grandsonOf]C ⇒ A↔[greatGrandmotherOf,greatGrandsonOf]C",motherOf,grandsonOf,greatGrandmotherOf,greatGrandsonOf,160,160,0.011576586354098835,1.0
"greatGrandfatherOf(A,B) ∧ fatherOf(C,B) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A→[greatGrandfatherOf]B←[fatherOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",greatGrandfatherOf,fatherOf,grandfatherOf,grandsonOf,159,159,0.011504232689385717,1.0
"motherOf(A,B) ∧ brotherOf(C,B) → motherOf(A,C) ∧ sonOf(C,A)","A→[motherOf]B←[brotherOf]C ⇒ A↔[motherOf,sonOf]C",motherOf,brotherOf,motherOf,sonOf,158,158,0.0114318790246726,1.0
"sisterOf(A,B) ∧ fatherOf(C,B) → daughterOf(A,C) ∧ fatherOf(C,A)","A→[sisterOf]B←[fatherOf]C ⇒ A↔[daughterOf,fatherOf]C",sisterOf,fatherOf,daughterOf,fatherOf,157,157,0.011359525359959481,1.0
"fatherOf(A,B) ∧ grandsonOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[fatherOf]B←[grandsonOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",fatherOf,grandsonOf,greatGrandfatherOf,greatGrandsonOf,157,157,0.011359525359959481,1.0
"grandfatherOf(A,B) ∧ fatherOf(C,B) → fatherOf(A,C) ∧ sonOf(C,A)","A→[grandfatherOf]B←[fatherOf]C ⇒ A↔[fatherOf,sonOf]C",grandfatherOf,fatherOf,fatherOf,sonOf,155,155,0.011214818030533246,1.0
"greatGrandmotherOf(A,B) ∧ fatherOf(C,B) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A→[greatGrandmotherOf]B←[fatherOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",greatGrandmotherOf,fatherOf,grandmotherOf,grandsonOf,155,155,0.011214818030533246,1.0
"uncleOf(A,B) ∧ brotherOf(C,B) → uncleOf(A,C) ∧ nephewOf(C,A)","A→[uncleOf]B←[brotherOf]C ⇒ A↔[uncleOf,nephewOf]C",uncleOf,brotherOf,uncleOf,nephewOf,153,153,0.01107011070110701,1.0
