Rule,Body_Relations,Head_Relation,Count,Body_Count,Support,Confidence,Chain_Length
"grandmotherOf(X,Y) ∧ daughterOf(Y,Z) ∧ fatherOf(Z,W) → grandmotherOf(X,W)",grandmotherOf -> daughterOf -> fatherOf,grandmotherOf,817,817,0.05911294407061718,1.0,3
"grandfatherOf(X,Y) ∧ daughterOf(Y,Z) ∧ fatherOf(Z,W) → grandfatherOf(X,W)",grandfatherOf -> daughterOf -> fatherOf,grandfatherOf,817,817,0.05911294407061718,1.0,3
"sisterOf(X,Y) ∧ sisterOf(Y,Z) ∧ girlCousinOf(Z,W) → girlCousinOf(X,W)",sisterOf -> sisterOf -> girlCousinOf,girlCousinOf,816,816,0.05904059040590406,1.0,3
"nieceOf(X,Y) ∧ sisterOf(Y,Z) ∧ granddaughterOf(Z,W) → greatGranddaughterOf(X,W)",nieceOf -> sisterOf -> granddaughterOf,greatGranddaughterOf,786,786,0.05686998046451053,1.0,3
"grandmotherOf(X,Y) ∧ sonOf(Y,Z) ∧ fatherOf(Z,W) → grandmotherOf(X,W)",grandmotherOf -> sonOf -> fatherOf,grandmotherOf,783,783,0.056652919470371176,1.0,3
"grandmotherOf(X,Y) ∧ daughterOf(Y,Z) ∧ grandfatherOf(Z,W) → greatGrandmotherOf(X,W)",grandmotherOf -> daughterOf -> grandfatherOf,greatGrandmotherOf,783,783,0.056652919470371176,1.0,3
"grandfatherOf(X,Y) ∧ sonOf(Y,Z) ∧ fatherOf(Z,W) → grandfatherOf(X,W)",grandfatherOf -> sonOf -> fatherOf,grandfatherOf,783,783,0.056652919470371176,1.0,3
"grandfatherOf(X,Y) ∧ daughterOf(Y,Z) ∧ grandfatherOf(Z,W) → greatGrandfatherOf(X,W)",grandfatherOf -> daughterOf -> grandfatherOf,greatGrandfatherOf,783,783,0.056652919470371176,1.0,3
"brotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ greatGrandsonOf(Z,W) → greatGrandsonOf(X,W)",brotherOf -> sisterOf -> greatGrandsonOf,greatGrandsonOf,766,766,0.05542290717024817,1.0,3
"grandsonOf(X,Y) ∧ motherOf(Y,Z) ∧ grandsonOf(Z,W) → greatGrandsonOf(X,W)",grandsonOf -> motherOf -> grandsonOf,greatGrandsonOf,766,766,0.05542290717024817,1.0,3
"grandsonOf(X,Y) ∧ fatherOf(Y,Z) ∧ grandsonOf(Z,W) → greatGrandsonOf(X,W)",grandsonOf -> fatherOf -> grandsonOf,greatGrandsonOf,766,766,0.05542290717024817,1.0,3
"brotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ sonOf(Z,W) → sonOf(X,W)",brotherOf -> sisterOf -> sonOf,sonOf,759,759,0.05491643151725635,1.0,3
"daughterOf(X,Y) ∧ fatherOf(Y,Z) ∧ greatGranddaughterOf(Z,W) → greatGranddaughterOf(X,W)",daughterOf -> fatherOf -> greatGranddaughterOf,greatGranddaughterOf,756,756,0.054699370523117,1.0,3
"granddaughterOf(X,Y) ∧ fatherOf(Y,Z) ∧ grandsonOf(Z,W) → greatGranddaughterOf(X,W)",granddaughterOf -> fatherOf -> grandsonOf,greatGranddaughterOf,756,756,0.054699370523117,1.0,3
"granddaughterOf(X,Y) ∧ motherOf(Y,Z) ∧ grandsonOf(Z,W) → greatGranddaughterOf(X,W)",granddaughterOf -> motherOf -> grandsonOf,greatGranddaughterOf,756,756,0.054699370523117,1.0,3
"motherOf(X,Y) ∧ daughterOf(Y,Z) ∧ grandfatherOf(Z,W) → grandmotherOf(X,W)",motherOf -> daughterOf -> grandfatherOf,grandmotherOf,752,752,0.054409955864264524,1.0,3
"fatherOf(X,Y) ∧ daughterOf(Y,Z) ∧ grandfatherOf(Z,W) → grandfatherOf(X,W)",fatherOf -> daughterOf -> grandfatherOf,grandfatherOf,752,752,0.054409955864264524,1.0,3
"nephewOf(X,Y) ∧ sisterOf(Y,Z) ∧ grandsonOf(Z,W) → greatGrandsonOf(X,W)",nephewOf -> sisterOf -> grandsonOf,greatGrandsonOf,752,752,0.054409955864264524,1.0,3
"grandmotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ uncleOf(Z,W) → greatGrandmotherOf(X,W)",grandmotherOf -> sisterOf -> uncleOf,greatGrandmotherOf,750,750,0.05426524853483829,1.0,3
"grandfatherOf(X,Y) ∧ sisterOf(Y,Z) ∧ uncleOf(Z,W) → greatGrandfatherOf(X,W)",grandfatherOf -> sisterOf -> uncleOf,greatGrandfatherOf,750,750,0.05426524853483829,1.0,3
"grandsonOf(X,Y) ∧ motherOf(Y,Z) ∧ granddaughterOf(Z,W) → greatGrandsonOf(X,W)",grandsonOf -> motherOf -> granddaughterOf,greatGrandsonOf,750,750,0.05426524853483829,1.0,3
"grandsonOf(X,Y) ∧ fatherOf(Y,Z) ∧ granddaughterOf(Z,W) → greatGrandsonOf(X,W)",grandsonOf -> fatherOf -> granddaughterOf,greatGrandsonOf,750,750,0.05426524853483829,1.0,3
"grandmotherOf(X,Y) ∧ sonOf(Y,Z) ∧ grandfatherOf(Z,W) → greatGrandmotherOf(X,W)",grandmotherOf -> sonOf -> grandfatherOf,greatGrandmotherOf,749,749,0.05419289487012517,1.0,3
"grandfatherOf(X,Y) ∧ sonOf(Y,Z) ∧ grandfatherOf(Z,W) → greatGrandfatherOf(X,W)",grandfatherOf -> sonOf -> grandfatherOf,greatGrandfatherOf,749,749,0.05419289487012517,1.0,3
"sonOf(X,Y) ∧ motherOf(Y,Z) ∧ grandsonOf(Z,W) → grandsonOf(X,W)",sonOf -> motherOf -> grandsonOf,grandsonOf,746,746,0.05397583387598582,1.0,3
"grandmotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ auntOf(Z,W) → greatGrandmotherOf(X,W)",grandmotherOf -> brotherOf -> auntOf,greatGrandmotherOf,739,739,0.05346935822299399,1.0,3
"grandfatherOf(X,Y) ∧ brotherOf(Y,Z) ∧ auntOf(Z,W) → greatGrandfatherOf(X,W)",grandfatherOf -> brotherOf -> auntOf,greatGrandfatherOf,739,739,0.05346935822299399,1.0,3
"sisterOf(X,Y) ∧ sisterOf(Y,Z) ∧ grandsonOf(Z,W) → granddaughterOf(X,W)",sisterOf -> sisterOf -> grandsonOf,granddaughterOf,736,736,0.05325229722885464,1.0,3
"brotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ granddaughterOf(Z,W) → grandsonOf(X,W)",brotherOf -> sisterOf -> granddaughterOf,grandsonOf,736,736,0.05325229722885464,1.0,3
"brotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ greatGrandsonOf(Z,W) → greatGrandsonOf(X,W)",brotherOf -> brotherOf -> greatGrandsonOf,greatGrandsonOf,736,736,0.05325229722885464,1.0,3
"sonOf(X,Y) ∧ fatherOf(Y,Z) ∧ sonOf(Z,W) → sonOf(X,W)",sonOf -> fatherOf -> sonOf,sonOf,729,729,0.052745821575862814,1.0,3
"nieceOf(X,Y) ∧ sisterOf(Y,Z) ∧ grandsonOf(Z,W) → greatGranddaughterOf(X,W)",nieceOf -> sisterOf -> grandsonOf,greatGranddaughterOf,726,726,0.05252876058172346,1.0,3
"granddaughterOf(X,Y) ∧ motherOf(Y,Z) ∧ granddaughterOf(Z,W) → greatGranddaughterOf(X,W)",granddaughterOf -> motherOf -> granddaughterOf,greatGranddaughterOf,718,718,0.05194993126401852,1.0,3
"granddaughterOf(X,Y) ∧ fatherOf(Y,Z) ∧ granddaughterOf(Z,W) → greatGranddaughterOf(X,W)",granddaughterOf -> fatherOf -> granddaughterOf,greatGranddaughterOf,718,718,0.05194993126401852,1.0,3
"sisterOf(X,Y) ∧ brotherOf(Y,Z) ∧ nieceOf(Z,W) → nieceOf(X,W)",sisterOf -> brotherOf -> nieceOf,nieceOf,715,715,0.05173287026987917,1.0,3
"sisterOf(X,Y) ∧ sisterOf(Y,Z) ∧ nieceOf(Z,W) → nieceOf(X,W)",sisterOf -> sisterOf -> nieceOf,nieceOf,710,710,0.05137110194631358,1.0,3
"motherOf(X,Y) ∧ sonOf(Y,Z) ∧ grandfatherOf(Z,W) → grandmotherOf(X,W)",motherOf -> sonOf -> grandfatherOf,grandmotherOf,685,685,0.04956226032848564,1.0,3
"fatherOf(X,Y) ∧ sonOf(Y,Z) ∧ grandfatherOf(Z,W) → grandfatherOf(X,W)",fatherOf -> sonOf -> grandfatherOf,grandfatherOf,685,685,0.04956226032848564,1.0,3
"sonOf(X,Y) ∧ fatherOf(Y,Z) ∧ greatGrandsonOf(Z,W) → greatGrandsonOf(X,W)",sonOf -> fatherOf -> greatGrandsonOf,greatGrandsonOf,680,680,0.04920049200492005,1.0,3
"nephewOf(X,Y) ∧ brotherOf(Y,Z) ∧ granddaughterOf(Z,W) → greatGrandsonOf(X,W)",nephewOf -> brotherOf -> granddaughterOf,greatGrandsonOf,680,680,0.04920049200492005,1.0,3
"daughterOf(X,Y) ∧ motherOf(Y,Z) ∧ daughterOf(Z,W) → daughterOf(X,W)",daughterOf -> motherOf -> daughterOf,daughterOf,674,674,0.048766370016641344,1.0,3
"girlCousinOf(X,Y) ∧ nephewOf(Y,Z) ∧ granddaughterOf(Z,W) → greatGranddaughterOf(X,W)",girlCousinOf -> nephewOf -> granddaughterOf,greatGranddaughterOf,672,672,0.04862166268721511,1.0,3
"sisterOf(X,Y) ∧ brotherOf(Y,Z) ∧ girlCousinOf(Z,W) → girlCousinOf(X,W)",sisterOf -> brotherOf -> girlCousinOf,girlCousinOf,669,669,0.048404601693075755,1.0,3
"girlCousinOf(X,Y) ∧ nieceOf(Y,Z) ∧ granddaughterOf(Z,W) → greatGranddaughterOf(X,W)",girlCousinOf -> nieceOf -> granddaughterOf,greatGranddaughterOf,666,666,0.0481875406989364,1.0,3
"greatGrandfatherOf(X,Y) ∧ sisterOf(Y,Z) ∧ sisterOf(Z,W) → greatGrandfatherOf(X,W)",greatGrandfatherOf -> sisterOf -> sisterOf,greatGrandfatherOf,662,662,0.04789812604008393,1.0,3
"greatGrandmotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ sisterOf(Z,W) → greatGrandmotherOf(X,W)",greatGrandmotherOf -> sisterOf -> sisterOf,greatGrandmotherOf,662,662,0.04789812604008393,1.0,3
"motherOf(X,Y) ∧ daughterOf(Y,Z) ∧ fatherOf(Z,W) → motherOf(X,W)",motherOf -> daughterOf -> fatherOf,motherOf,658,658,0.04760871138123146,1.0,3
"fatherOf(X,Y) ∧ daughterOf(Y,Z) ∧ fatherOf(Z,W) → fatherOf(X,W)",fatherOf -> daughterOf -> fatherOf,fatherOf,658,658,0.04760871138123146,1.0,3
"nephewOf(X,Y) ∧ sisterOf(Y,Z) ∧ daughterOf(Z,W) → grandsonOf(X,W)",nephewOf -> sisterOf -> daughterOf,grandsonOf,647,647,0.04681282106938717,1.0,3
"motherOf(X,Y) ∧ sonOf(Y,Z) ∧ fatherOf(Z,W) → motherOf(X,W)",motherOf -> sonOf -> fatherOf,motherOf,644,644,0.04659576007524781,1.0,3
"fatherOf(X,Y) ∧ sonOf(Y,Z) ∧ fatherOf(Z,W) → fatherOf(X,W)",fatherOf -> sonOf -> fatherOf,fatherOf,644,644,0.04659576007524781,1.0,3
"daughterOf(X,Y) ∧ motherOf(Y,Z) ∧ greatGranddaughterOf(Z,W) → greatGranddaughterOf(X,W)",daughterOf -> motherOf -> greatGranddaughterOf,greatGranddaughterOf,644,644,0.04659576007524781,1.0,3
"sonOf(X,Y) ∧ motherOf(Y,Z) ∧ greatGrandsonOf(Z,W) → greatGrandsonOf(X,W)",sonOf -> motherOf -> greatGrandsonOf,greatGrandsonOf,644,644,0.04659576007524781,1.0,3
"auntOf(X,Y) ∧ nephewOf(Y,Z) ∧ greatGranddaughterOf(Z,W) → greatGranddaughterOf(X,W)",auntOf -> nephewOf -> greatGranddaughterOf,greatGranddaughterOf,642,642,0.04645105274582158,1.0,3
"nieceOf(X,Y) ∧ brotherOf(Y,Z) ∧ grandsonOf(Z,W) → greatGranddaughterOf(X,W)",nieceOf -> brotherOf -> grandsonOf,greatGranddaughterOf,632,632,0.0457275160986904,1.0,3
"girlCousinOf(X,Y) ∧ sisterOf(Y,Z) ∧ sisterOf(Z,W) → girlCousinOf(X,W)",girlCousinOf -> sisterOf -> sisterOf,girlCousinOf,630,630,0.04558280876926416,1.0,3
"brotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ nephewOf(Z,W) → nephewOf(X,W)",brotherOf -> sisterOf -> nephewOf,nephewOf,627,627,0.04536574777512481,1.0,3
"girlCousinOf(X,Y) ∧ girlCousinOf(Y,Z) ∧ greatGrandsonOf(Z,W) → greatGranddaughterOf(X,W)",girlCousinOf -> girlCousinOf -> greatGrandsonOf,greatGranddaughterOf,618,618,0.04471456479270675,1.0,3
"daughterOf(X,Y) ∧ fatherOf(Y,Z) ∧ nieceOf(Z,W) → nieceOf(X,W)",daughterOf -> fatherOf -> nieceOf,nieceOf,617,617,0.04464221112799363,1.0,3
"grandmotherOf(X,Y) ∧ daughterOf(Y,Z) ∧ motherOf(Z,W) → grandmotherOf(X,W)",grandmotherOf -> daughterOf -> motherOf,grandmotherOf,606,606,0.04384632081614934,1.0,3
"grandfatherOf(X,Y) ∧ daughterOf(Y,Z) ∧ motherOf(Z,W) → grandfatherOf(X,W)",grandfatherOf -> daughterOf -> motherOf,grandfatherOf,606,606,0.04384632081614934,1.0,3
"grandsonOf(X,Y) ∧ motherOf(Y,Z) ∧ daughterOf(Z,W) → grandsonOf(X,W)",grandsonOf -> motherOf -> daughterOf,grandsonOf,606,606,0.04384632081614934,1.0,3
"grandsonOf(X,Y) ∧ fatherOf(Y,Z) ∧ daughterOf(Z,W) → grandsonOf(X,W)",grandsonOf -> fatherOf -> daughterOf,grandsonOf,606,606,0.04384632081614934,1.0,3
"sonOf(X,Y) ∧ motherOf(Y,Z) ∧ sonOf(Z,W) → sonOf(X,W)",sonOf -> motherOf -> sonOf,sonOf,601,601,0.04348455249258375,1.0,3
"grandmotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ uncleOf(Z,W) → greatGrandmotherOf(X,W)",grandmotherOf -> brotherOf -> uncleOf,greatGrandmotherOf,600,600,0.04341219882787063,1.0,3
"grandfatherOf(X,Y) ∧ brotherOf(Y,Z) ∧ uncleOf(Z,W) → greatGrandfatherOf(X,W)",grandfatherOf -> brotherOf -> uncleOf,greatGrandfatherOf,600,600,0.04341219882787063,1.0,3
"granddaughterOf(X,Y) ∧ motherOf(Y,Z) ∧ daughterOf(Z,W) → granddaughterOf(X,W)",granddaughterOf -> motherOf -> daughterOf,granddaughterOf,596,596,0.04312278416901816,1.0,3
"granddaughterOf(X,Y) ∧ fatherOf(Y,Z) ∧ daughterOf(Z,W) → granddaughterOf(X,W)",granddaughterOf -> fatherOf -> daughterOf,granddaughterOf,596,596,0.04312278416901816,1.0,3
"auntOf(X,Y) ∧ sisterOf(Y,Z) ∧ sisterOf(Z,W) → auntOf(X,W)",auntOf -> sisterOf -> sisterOf,auntOf,596,596,0.04312278416901816,1.0,3
"brotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ sonOf(Z,W) → sonOf(X,W)",brotherOf -> brotherOf -> sonOf,sonOf,594,594,0.04297807683959193,1.0,3
"brotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ boyCousinOf(Z,W) → boyCousinOf(X,W)",brotherOf -> sisterOf -> boyCousinOf,boyCousinOf,591,591,0.042761015845452575,1.0,3
"auntOf(X,Y) ∧ sisterOf(Y,Z) ∧ brotherOf(Z,W) → auntOf(X,W)",auntOf -> sisterOf -> brotherOf,auntOf,590,590,0.04268866218073945,1.0,3
"auntOf(X,Y) ∧ brotherOf(Y,Z) ∧ sisterOf(Z,W) → auntOf(X,W)",auntOf -> brotherOf -> sisterOf,auntOf,590,590,0.04268866218073945,1.0,3
"sonOf(X,Y) ∧ fatherOf(Y,Z) ∧ nephewOf(Z,W) → nephewOf(X,W)",sonOf -> fatherOf -> nephewOf,nephewOf,587,587,0.0424716011866001,1.0,3
"greatGrandmotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ sisterOf(Z,W) → greatGrandmotherOf(X,W)",greatGrandmotherOf -> brotherOf -> sisterOf,greatGrandmotherOf,583,583,0.042182186527747634,1.0,3
"greatGrandmotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ brotherOf(Z,W) → greatGrandmotherOf(X,W)",greatGrandmotherOf -> sisterOf -> brotherOf,greatGrandmotherOf,583,583,0.042182186527747634,1.0,3
"greatGrandfatherOf(X,Y) ∧ brotherOf(Y,Z) ∧ sisterOf(Z,W) → greatGrandfatherOf(X,W)",greatGrandfatherOf -> brotherOf -> sisterOf,greatGrandfatherOf,583,583,0.042182186527747634,1.0,3
"greatGrandfatherOf(X,Y) ∧ sisterOf(Y,Z) ∧ brotherOf(Z,W) → greatGrandfatherOf(X,W)",greatGrandfatherOf -> sisterOf -> brotherOf,greatGrandfatherOf,583,583,0.042182186527747634,1.0,3
"motherOf(X,Y) ∧ sisterOf(Y,Z) ∧ auntOf(Z,W) → grandmotherOf(X,W)",motherOf -> sisterOf -> auntOf,grandmotherOf,582,582,0.04210983286303451,1.0,3
"fatherOf(X,Y) ∧ sisterOf(Y,Z) ∧ auntOf(Z,W) → grandfatherOf(X,W)",fatherOf -> sisterOf -> auntOf,grandfatherOf,582,582,0.04210983286303451,1.0,3
"motherOf(X,Y) ∧ brotherOf(Y,Z) ∧ auntOf(Z,W) → grandmotherOf(X,W)",motherOf -> brotherOf -> auntOf,grandmotherOf,569,569,0.04116923522176398,1.0,3
"fatherOf(X,Y) ∧ brotherOf(Y,Z) ∧ auntOf(Z,W) → grandfatherOf(X,W)",fatherOf -> brotherOf -> auntOf,grandfatherOf,569,569,0.04116923522176398,1.0,3
"nephewOf(X,Y) ∧ brotherOf(Y,Z) ∧ grandsonOf(Z,W) → greatGrandsonOf(X,W)",nephewOf -> brotherOf -> grandsonOf,greatGrandsonOf,568,568,0.041096881557050866,1.0,3
"daughterOf(X,Y) ∧ fatherOf(Y,Z) ∧ girlCousinOf(Z,W) → girlCousinOf(X,W)",daughterOf -> fatherOf -> girlCousinOf,girlCousinOf,566,566,0.04095217422762463,1.0,3
"grandmotherOf(X,Y) ∧ sonOf(Y,Z) ∧ motherOf(Z,W) → grandmotherOf(X,W)",grandmotherOf -> sonOf -> motherOf,grandmotherOf,565,565,0.04087982056291151,1.0,3
"grandfatherOf(X,Y) ∧ sonOf(Y,Z) ∧ motherOf(Z,W) → grandfatherOf(X,W)",grandfatherOf -> sonOf -> motherOf,grandfatherOf,565,565,0.04087982056291151,1.0,3
"girlCousinOf(X,Y) ∧ sisterOf(Y,Z) ∧ brotherOf(Z,W) → girlCousinOf(X,W)",girlCousinOf -> sisterOf -> brotherOf,girlCousinOf,564,564,0.04080746689819839,1.0,3
"girlCousinOf(X,Y) ∧ brotherOf(Y,Z) ∧ sisterOf(Z,W) → girlCousinOf(X,W)",girlCousinOf -> brotherOf -> sisterOf,girlCousinOf,564,564,0.04080746689819839,1.0,3
"grandsonOf(X,Y) ∧ motherOf(Y,Z) ∧ sonOf(Z,W) → grandsonOf(X,W)",grandsonOf -> motherOf -> sonOf,grandsonOf,552,552,0.03993922292164098,1.0,3
"grandsonOf(X,Y) ∧ fatherOf(Y,Z) ∧ sonOf(Z,W) → grandsonOf(X,W)",grandsonOf -> fatherOf -> sonOf,grandsonOf,552,552,0.03993922292164098,1.0,3
"granddaughterOf(X,Y) ∧ motherOf(Y,Z) ∧ sonOf(Z,W) → granddaughterOf(X,W)",granddaughterOf -> motherOf -> sonOf,granddaughterOf,550,550,0.039794515592214745,1.0,3
"granddaughterOf(X,Y) ∧ fatherOf(Y,Z) ∧ sonOf(Z,W) → granddaughterOf(X,W)",granddaughterOf -> fatherOf -> sonOf,granddaughterOf,550,550,0.039794515592214745,1.0,3
"motherOf(X,Y) ∧ sisterOf(Y,Z) ∧ uncleOf(Z,W) → grandmotherOf(X,W)",motherOf -> sisterOf -> uncleOf,grandmotherOf,549,549,0.03972216192750163,1.0,3
"fatherOf(X,Y) ∧ sisterOf(Y,Z) ∧ uncleOf(Z,W) → grandfatherOf(X,W)",fatherOf -> sisterOf -> uncleOf,grandfatherOf,549,549,0.03972216192750163,1.0,3
"boyCousinOf(X,Y) ∧ nieceOf(Y,Z) ∧ grandsonOf(Z,W) → greatGrandsonOf(X,W)",boyCousinOf -> nieceOf -> grandsonOf,greatGrandsonOf,546,546,0.03950510093336228,1.0,3
"nieceOf(X,Y) ∧ sisterOf(Y,Z) ∧ daughterOf(Z,W) → granddaughterOf(X,W)",nieceOf -> sisterOf -> daughterOf,granddaughterOf,544,544,0.03936039360393604,1.0,3
"auntOf(X,Y) ∧ sonOf(Y,Z) ∧ fatherOf(Z,W) → auntOf(X,W)",auntOf -> sonOf -> fatherOf,auntOf,537,537,0.038853917950944214,1.0,3
"sisterOf(X,Y) ∧ brotherOf(Y,Z) ∧ grandsonOf(Z,W) → granddaughterOf(X,W)",sisterOf -> brotherOf -> grandsonOf,granddaughterOf,532,532,0.038492149627378625,1.0,3
"brotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ granddaughterOf(Z,W) → grandsonOf(X,W)",brotherOf -> brotherOf -> granddaughterOf,grandsonOf,532,532,0.038492149627378625,1.0,3
"auntOf(X,Y) ∧ brotherOf(Y,Z) ∧ brotherOf(Z,W) → auntOf(X,W)",auntOf -> brotherOf -> brotherOf,auntOf,526,526,0.03805802763909992,1.0,3
"greatGrandmotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ brotherOf(Z,W) → greatGrandmotherOf(X,W)",greatGrandmotherOf -> brotherOf -> brotherOf,greatGrandmotherOf,526,526,0.03805802763909992,1.0,3
"greatGrandfatherOf(X,Y) ∧ brotherOf(Y,Z) ∧ brotherOf(Z,W) → greatGrandfatherOf(X,W)",greatGrandfatherOf -> brotherOf -> brotherOf,greatGrandfatherOf,526,526,0.03805802763909992,1.0,3
"brotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ nephewOf(Z,W) → nephewOf(X,W)",brotherOf -> brotherOf -> nephewOf,nephewOf,514,514,0.03718978366254251,1.0,3
